gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_accessions	annotation_description
CP020618.1_1	1	501	501	1	0.279	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_2	723	1814	1092	1	0.312	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_3	2077	3066	990	1	0.314	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_4	3315	4982	1668	1	0.360	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_5	5254	6072	819	-1	0.304	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_6	6486	7748	1263	1	0.320	11	AGGAGG	GENOMAD.171925.VC	1.384e-36	147	0	0	0	2561	Caudoviricetes	NA	PF00579.28;K01866;TIGR00234;COG0162	tyrosyl-tRNA synthetase
CP020618.1_7	7815	9071	1257	-1	0.333	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_8	9239	9856	618	1	0.317	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_9	10322	11782	1461	1	0.335	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_10	11978	13105	1128	1	0.287	11	GGAG/GAGG	GENOMAD.179673.CV	2.178e-83	283	0	0	0	1	NA	NA	PF06888.15;PF05116.16;K11777;TIGR01454;COG4359	3-amino-5-hydroxybenoic acid synthesis related protein
CP020618.1_11	13153	14748	1596	-1	0.335	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_12	14738	15901	1164	-1	0.326	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_13	15999	16448	450	-1	0.338	11	AGGAGG	GENOMAD.160419.CP	3.291e-62	210	0	0	0	1	NA	NA	PF02566.22;TIGR03563;COG1765;K04063	peroxiredoxin, SACOL1771 subfamily
CP020618.1_14	16527	17273	747	1	0.280	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_15	17325	17927	603	-1	0.350	11	AGGAGG	GENOMAD.079740.CV	8.344e-19	87	0	0	0	2561	Caudoviricetes	NA	PF00163.22;K02986;TIGR01017;COG0522	Ribosomal protein S4/S9 N-terminal domain
CP020618.1_16	18159	18626	468	-1	0.327	11	GGAG/GAGG	GENOMAD.138407.CP	1.994e-45	162	0	0	0	1	NA	NA	K08968;TIGR01817	NA
CP020618.1_17	18757	20451	1695	1	0.294	11	AGGAGG	GENOMAD.012907.CC	3.122e-73	261	0	0	0	1	NA	NA	PF06160.15;K06286;COG4477	Septation ring formation regulator EzrA
CP020618.1_18	20614	21750	1137	1	0.314	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_19	21751	22974	1224	1	0.324	11	AGGAG/GGAGG	GENOMAD.087190.CP	1.521e-16	85	0	0	0	1	NA	NA	PF09883.12;TIGR00342;COG0301	tRNA sulfurtransferase ThiI
CP020618.1_20	23047	23790	744	1	0.320	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_21	23884	24378	495	1	0.311	11	GGxGG	GENOMAD.130576.CP	8.642e-42	152	0	0	0	1	NA	NA	PF13778.9;K11065;COG2077;TIGR03137	Peroxiredoxin
CP020618.1_22	24502	25449	948	1	0.306	11	AGGA	GENOMAD.194282.CP	4.764e-37	145	0	0	0	1	NA	NA	PF20473.1;COG0286;TIGR02987;K07317	Type I restriction-modification system, DNA methylase subunit
CP020618.1_23	25532	26728	1197	1	0.334	11	GGAGG	GENOMAD.124300.CP	6.096e-102	338	0	0	0	2561	Caudoviricetes	NA	PF00871.20;PF06130.15;K00925;TIGR00016;COG0282	acetate kinase
CP020618.1_24	26911	27408	498	-1	0.343	11	AGxAGG/AGGxGG	GENOMAD.136381.CP	2.43e-05	46	0	0	0	1	NA	NA	PF00582.29;COG0589;K14061	Nucleotide-binding universal stress protein,  UspA family
CP020618.1_25	27561	28679	1119	1	0.346	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_26	28764	29819	1056	-1	0.315	11	AGGAGG	GENOMAD.124338.CP	9.369e-11	66	0	0	0	1	NA	NA	PF00557.27;PF01321.21;K01271;COG0006;TIGR02993	Xaa-Pro aminopeptidase
CP020618.1_27	29949	30638	690	1	0.323	11	AGGAGG	GENOMAD.119476.CP	5.692e-28	115	0	0	0	1	NA	NA	PF13483.9;COG2220;TIGR03307;K03476	L-ascorbate metabolism protein UlaG, beta-lactamase superfamily
CP020618.1_28	30697	31110	414	-1	0.331	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_29	31326	32003	678	1	0.311	11	GGAG/GAGG	GENOMAD.116888.CP	1.819e-15	78	0	0	0	1	NA	NA	PF07085.15;COG1493;TIGR00679	DRTGG domain
CP020618.1_30	32024	32623	600	1	0.305	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_31	32654	33592	939	1	0.319	11	AGGAG	GENOMAD.113257.CV	5.098e-18	88	0	0	0	2561	Caudoviricetes	NA	PF01368.23;K06881;COG0618;TIGR00644	nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs
CP020618.1_32	33613	36816	3204	1	0.300	11	AGGA	GENOMAD.161283.VC	5.857e-30	132	0	0	0	2561	Caudoviricetes	NA	PF17657.4;COG1387	Bacterial DNA polymerase III alpha subunit finger domain
